word,sense_id,sentence_id,sentence
ball,0,0,The ball sailed across the field and the team celebrated the score.
ball,0,1,She kicked the ball during practice and it went straight into the goal.
ball,0,2,"The team warmed up on the field, passing the ball back and forth."
ball,0,3,He scored by driving the ball past the goalkeeper during the match.
ball,0,4,The ball bounced off the field as the team prepared for the match.
ball,0,5,"During practice, the team worked on controlling the ball on the field."
ball,0,6,The score changed when the ball crossed the goal line in the match.
ball,0,7,She caught the ball and sprinted down the field to score for the team.
ball,0,8,The team lost the ball in the final minutes of the match.
ball,0,9,He juggled the ball during practice before passing it across the field.
ball,0,10,The ball hit the post and the score remained tied in the match.
ball,0,11,The team focused on ball control during their practice on the field.
ball,0,12,A long pass sent the ball to the other end of the field before the score.
ball,0,13,The match was decided when the ball deflected off a defender for the score.
ball,0,14,She dribbled the ball across the field as her team called for a pass.
ball,0,15,The team practiced set plays with the ball on the training field.
ball,0,16,"He threw the ball down the field, and the team scored on the next play."
ball,0,17,"The score was close, and the ball was contested by both teams on the field."
ball,0,18,"During the match, the ball was in play for most of the second half."
ball,0,19,The team huddled on the field before practice to discuss ball strategy.
ball,0,20,"The ball spun wildly off the field, and the score stood unchanged."
ball,0,21,"She passed the ball to her teammate, setting up the winning score in the match."
ball,0,22,The team's ball movement in practice translated into a great match performance.
ball,0,23,The ball landed just inside the field boundary for the go-ahead score.
ball,0,24,He controlled the ball in the final moments of the match to protect the team's score.
ball,1,0,"The ball was held in the grand hall, with music playing all evening."
ball,1,1,She wore an elegant gown to the ball and danced until midnight.
ball,1,2,The music at the ball filled the hall for the entire evening.
ball,1,3,Guests arrived at the ball in formal gowns and tuxedos.
ball,1,4,The evening began with a waltz as the ball opened in the grand hall.
ball,1,5,She bought a new gown specifically for the charity ball.
ball,1,6,The music swelled as couples took to the dance floor at the ball.
ball,1,7,The ball was the social highlight of the evening season.
ball,1,8,"He escorted her into the hall for the ball, the music already playing."
ball,1,9,The gown she wore to the ball sparkled under the hall's chandeliers.
ball,1,10,The evening's ball featured live music and dancing until dawn.
ball,1,11,"She danced every number at the ball, her gown flowing across the hall."
ball,1,12,The ball was an annual evening event held in the oldest hall in town.
ball,1,13,Music echoed through the hall as guests mingled at the ball.
ball,1,14,She admired the decorations in the hall before the ball began.
ball,1,15,The gown was custom-made for the evening ball at the grand hall.
ball,1,16,"The ball ended late in the evening, with the last dance and music fading."
ball,1,17,He reserved seats in the hall for the annual evening ball.
ball,1,18,The music at the ball ranged from classical waltzes to modern jazz.
ball,1,19,Her gown was the talk of the ball all evening long.
ball,1,20,The hall was decorated with flowers and lights for the ball.
ball,1,21,The evening ball brought together guests in their finest gowns.
ball,1,22,Music played softly as the ball began in the candlelit hall.
ball,1,23,She arrived at the hall early to prepare for the evening ball.
ball,1,24,The gown she chose for the ball made her stand out all evening.
bank,0,0,I walked into the bank to ask about my {k}.
bank,0,1,The bank approved my {k} application after a two-week review.
bank,0,2,She works at the bank and handles {k} requests all day.
bank,0,3,My bank sent me a letter about my {k} terms.
bank,0,4,He made a {k} at the bank before heading to work.
bank,0,5,The new bank on Oak Street is offering competitive {k} rates.
bank,0,6,Our bank recently updated its {k} policies for customers.
bank,0,7,I switched to a different bank because of better {k} options.
bank,0,8,The bank called to verify the {k} I submitted last week.
bank,0,9,"After the merger, the bank restructured its {k} department."
bank,0,10,"Every Friday, she goes to the bank to process her {k}."
bank,0,11,The bank hired additional staff for the {k} counter.
bank,0,12,His bank statement showed an unexpected {k} discrepancy.
bank,0,13,The bank downtown has a dedicated {k} services window.
bank,0,14,We opened a joint {k} at the bank near the mall.
bank,0,15,The bank is offering a promotion for new {k} holders.
bank,0,16,My grandmother has kept her {k} at the same bank for decades.
bank,0,17,The bank tightened its {k} requirements this quarter.
bank,0,18,I visited the bank to close my old {k}.
bank,0,19,The bank manager personally handled our {k} paperwork.
bank,0,20,Our local bank renovated the {k} processing area last month.
bank,0,21,The bank offers online tools for managing your {k}.
bank,0,22,She complained to the bank about the {k} fees.
bank,0,23,The bank froze her {k} pending an investigation.
bank,0,24,I need to call the bank about my pending {k}.
bank,1,0,We sat on the bank of the river and watched the sunset.
bank,1,1,The bank was covered in thick mud after the storm.
bank,1,2,"Children played along the bank, skipping stones into the stream."
bank,1,3,He set up his fishing rod on the grassy bank.
bank,1,4,Wildflowers bloomed all along the bank of the river.
